date,model_mode,growth_paper_variant,portfolio_value,daily_return,cumulative_return,volatility,Sharpe,max_drawdown,cash_weight,exposure,uncapped_exposure,vol_target_exposure,exposure_cap,exposure_cap_60,dual_trend_cap,final_exposure,spy_close,spy_ma_200,qqq_close,qqq_ma_200,spy_below_200d,qqq_below_200d,dual_trend_reason,turnover,data_source,raw_target_current_features_available,raw_target_feature_source,fallback_reason,growth_model_version,data_mode,archive_reason
2026-06-17,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,100000.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.6,0.85,0.6,0.6,0.6,0.6,739.0560302734375,683.9198599243164,721.7168579101562,626.7817889404297,False,False,SPY and QQQ above 200D MA,0.6,current_growth_candidate_allocation,False,target_implied_proxy,"Growth paper using proxy raw target, not production-parity.",growth_champion_final_v1_0_frozen,historical_debug_reconstruction,before exact official forward start; useful for debugging only
2026-06-18,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,101620.13340146789,0.0162013340146788,0.0162013340146787,0.1285941021309954,15.874507866387544,0.0,0.4,0.6,0.85,0.85,0.6,0.6,0.6,0.6,746.739990234375,684.4872927856445,739.8070068359375,627.663186340332,False,False,SPY and QQQ above 200D MA,0.0,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_champion_final_v1_0_frozen,historical_debug_reconstruction,before exact official forward start; useful for debugging only
2026-06-22,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,101211.5756195782,-0.0040204413064052,0.0121157561957818,0.1387511669865,7.374316264990617,-0.0040204413064053,0.4,0.6,0.85,0.85,0.6,0.6,0.6,0.6,744.3900146484375,685.0258160400391,737.9500122070312,628.5131311035157,False,False,SPY and QQQ above 200D MA,0.0,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_champion_final_v1_0_frozen,historical_debug_reconstruction,before exact official forward start; useful for debugging only
2026-06-23,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,97860.12978354769,-0.0331132661013749,-0.0213987021645231,0.2823693565269989,-4.670264294912221,-0.0370005774649561,0.4,0.6,0.85,0.85,0.6,0.6,0.6,0.6,733.5800170898438,685.4836840820312,713.6500244140625,629.2158715820312,False,False,SPY and QQQ above 200D MA,0.0,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_champion_final_v1_0_frozen,historical_debug_reconstruction,before exact official forward start; useful for debugging only
2026-06-24,growth_champion_final,growth_v1_exposure_cap_60_dual_trend_filter,95139.26283405324,-0.027803631116294,-0.0486073716594673,0.2903896471052705,-8.458616385807595,-0.0637754581743247,0.4,0.6,0.85,0.85,0.6,0.6,0.6,0.6,733.239990234375,685.9491491699218,710.6199951171875,629.8993270874023,False,False,SPY and QQQ above 200D MA,0.0,current_growth_candidate_allocation,True,raw_target_return_exact,exact raw target current growth allocation generated from current_growth_feature_generation,growth_champion_final_v1_0_frozen,historical_debug_reconstruction,before exact official forward start; useful for debugging only
